en,ro
I used the wrong word.,Am folosit cuvântul greșit.
Why are plants green?,De ce plantele sunt verzi?
How often does Tom play hockey?,Cât de des joacă Tom hochei?
North Korea decided the time was right to invade.,Coreea de Nord a decis că timpul e potrivit pentru a invada.
The police recovered the stolen money.,Poliția a recuperat banii furați.
Tom should've called.,Tom ar fi trebuit să sune.
My computer is defective.,Calculatorul meu este defect.
Christopher Columbus abhorred historical inaccuracies.,Cristofor Columb a detestat inexactitățile istorice.
I don't know where Tom works.,Nu știu unde lucrează Tom.
Enter!,Intrați!
You never have class or what?!,Niciodată nu ai clasă sau ce?!
Weird.,Ciudat.
Please speak in a loud voice.,Te rog să vorbești cu voce tare.
Tom peeled the apple for Mary.,Tom a curățat mărul pentru Mary.
But he likes the long school holidays.,Dar lui îi plac lungile vacanţe şcolare.
That's cool.,E marfă.
This is an important time.,Asta e o perioadă importantă.
"Where there's a will, there's a way.","Unde există voință, există soluție."
Light travels faster than sound.,Lumina sa misca mai rapide de sonor.
There are innumerable stars in the galaxy.,Există o infinitate de stele în galaxie.
Tom'll reconsider.,Tom își va schimba părerea.
"Except that here, it's not so simple.","Numai că aici, nu e atât de simplu."
I no longer live in Boston.,Nu mai locuiesc în Boston.
You were scared.,Te-ai speriat.
That's why they did it.,De asta au făcut-o.
The athlete seemed immune from fatigue.,Atletul părea imun la oboseală.
Let's talk quietly in order not to wake the baby.,Să coborâm tonul pentru a nu trezi bebeluşul.
That's Tom's father.,Acesta este tatăl lui Tom.
Did you accomplish your goals?,Ți-ai îndeplinit obiectivele?
Louis seemed to lose her zest for interaction.,Louis părea să-și piardă dorința de interacțiune.
"To tell the truth, she is my niece.","Ca să-spun adevărul, ea este nepoata mea."
He passed across the border.,A trecut frontiera.
Tom didn't give up on the plan.,Tom n-a renunţat la plan.
What time will you leave?,La ce oră vei pleca?
I pwn noobs.,Pwnez n00bii.
Everybody shouted for joy.,Toți au strigat de bucurie.
I've never heard such preposterous accusations!,N-am mai auzit niciodată acuzații atât de absurde!
"When you see the Popescus, please say hello from us.","Când îi vedeți pe Popești, transmiteți-le, vă rog, salutări de la noi."
I forgot to put a stamp on the envelope.,Am uitat să lipsesc un timbru pe plic.
"""Ah!"" is an interjection.",„Ah!” este o interjecție.
She is very sad.,Ea este foarte tristă.
I think Tom is broad-minded.,Cred că Tom este o persoană cu orizonturi largi.
No one can tell.,Nimeni nu știe.
"Don't just stand there like a lump, start taking notes!","Nu sta acolo ca un butuc, începe să iei notiţe!"
The GNP will rise at nearly a 4. 5% annual rate.,PNB-ul va creşte cu o rată anuală în jur de 4-5%.
Who is that woman?,Cine este femeia aceea?
No one likes war.,Nimănui nu-i place războiul.
Amanda goes to the gym almost every day.,Amanda se duce la sală aproape în fiecare zi.
I like your smile.,Îmi place zâmbetul tău.
Tom's room wasn't clean.,Camera lui Tom nu era curată.
You shouldn't eavesdrop.,Nu ar trebui să tragi cu urechea.
Tom doesn't mind lending Mary money.,Pe Tom nu-l deranjează să-i împrumute bani lui Mary.
We kind of expected this to happen.,Ne cam așteptam că așa ceva se va întâmpla.
It started to snow.,A început să ningă.
Prejudice is an opinion without judgement.,Prejudecata este o opinie fără judecată.
What a nice day it is!,Ce zi frumoasă!
I am a vegetarian.,Eu sunt vegetarian.
He lied readily.,El a mințit cu ușurință.
It's very hot today.,Azi e foarte cald.
People from Madrid are weird.,Oamenii din Madrid sunt ciudați.
Sami got out of the water.,Sami a ieșit din apă.
It took two tries to launch the second Gemini.,A fost nevoie de două încercări pentru a lansa al doilea Gemini.
I won't attend the party.,Nu voi participa la petrecere.
She is rarely late for appointments.,Ea rareori întârzie la întâlniri.
All children will go to school.,Toți copiii vor merge la școală.
The police have cleared the square.,Poliția a evacuat piața.
Tom doesn't like Mary's living there alone.,Lui Tom nu-i place că Mary locuiește acolo singură.
Have you ever folded a flag?,Ai împăturit vreodată vreun steag?
Sami was shopping.,Sami făcea cumpărături.
Love will prevail.,Dragostea v-a triumfa.
Who will look after your dog?,Cine va avea grijă de câinele tău?
I use the room with my sister.,Folosesc camera împreună cu sora mea.
They could die.,Ei s-ar putea să moară.
Isn't that your job?,Nu asta este treaba ta?
"In molecular gastronomy, completely new appliances are used.","În gastronomia moleculară, se folosesc aparate complet noi."
"No matter what he plays on the screen, Tom looks great.","Indiferent de ce joacă pe ecran, Tom arată grozav."
Tom tried to reassure Mary.,Tom încercat să o liniștească pe Mary.
I'm localising the software.,Eu localizez software-ul.
Be patient please. It takes time.,"Fii răbdător, te rog. Durează."
Can you reach the top shelf?,Poți să ajungi la raftul de sus?
My dad is busy.,Tatăl meu este ocupat.
Mary is Tom's sister.,Mary este sora lui Tom.
"Today was a wonderful day, and tomorrow will be too.",Azi a fost o zi minunată și mâine va fi deasemenea.
I consulted with my sister.,M-am sfătuit cu sora mea.
The cat which you found is mine.,Pisica pe care ai găsit-o este a mea.
Come eat with us.,Tu să vii să mănânci cu noi.
I want to have a look around.,Vreau să arunc o privire în jur.
Give me a second chance.,Mai dați-mi o șansă.
I swam for more than three hours yesterday.,Am înotat mai bine de trei ore ieri.
I'm not an idiot.,Nu sunt un idiot.
"Lately, he's achieved some pretty good results.",În ultima vreme el a obținut niște rezultate destul de bune.
Tom didn't seem to be sick.,Tom nu părea că este bolnav.
That doesn't matter.,Aia nu contează.
Tom wasn't looking at me.,Tom nu se uita la mine.
It is not clear who wrote this letter.,Nu e clar cine a scris această scrisoare.
Whatever!,Nu contează!
"I accept, but only under one condition.","Sunt de acord, dar numai cu o condiție."
Tom doesn't like hot food.,Lui Tom nu-i place mâncarea picantă.
I pushed Tom away.,L-am împins pe Tom.
I have to work on Monday.,Trebuie să lucrez luni.
That won't happen.,Aia nu se va întâmpla.
It's a piece of cake.,E o joacă de copil.
He is as tall as her.,El este la fel de înalt ca ea.
I think it's time for me to get a bit of exercise.,Cred că e vremea pentru mine să fac câte un pic de mișcare.
Your ignorance is a byproduct of your arrogance.,Ignoranța ta este un produs secundar al aroganței tale.
Luna is a reliable person.,Luna este o persoană de încredere.
Never lose hope.,Să nu-ți pierzi niciodată speranța.
Would you like something to eat?,Vreţi să mâncaţi ceva?
Tom shot Mary in the knee.,Tom a împușcat-o pe Mary în genunchi.
That's how it is done.,Așa se face asta.
"Please come in, sir.","Va rog să intrați, domnule."
She's faking sleep. That's why she's not snoring.,Se preface că doarme. De aceea nu sforăie.
Where is the remote?,Unde este telecomanda?
Tom is going to take good care of Mary.,Tom va avea grijă de Mary.
Yes.,Da.
"This is a law, so it applies to everybody.","Aceasta este o lege, aşa că se aplică tuturor."
Tom is very unhappy with you.,Tom este foarte nefericit cu tine.
How did you find me?,Cum m-ai găsit?
Don't overwork yourself.,Nu te suprasolicita.
I calculated hastily.,Am calculat în grabă.
Those political ideas arose in India.,Acele idei politice au apărut în India.
She likes her school a lot.,Ei îi place foarte mult școala sa.
There's no smoke without fire.,Nu iese fum fără foc.
Tom can't eat it all himself.,Tom nu poată mânca totul de unul singur.
Never!,Niciodată!
I was a public servant.,Am fost un angajat la stat.
She has nothing to lose.,Nu are nimic de pierdut.
I hope that neither of them was involved in the traffic accident.,Sper că niciunul dintre ei nu a fost implicat în accidentul rutier.
Tom says Mary should do that.,Tom spune că Mary ar trebui să facă asta.
That's the absolute truth.,Ăsta e adevărul absolut.
How can I serve you?,Cum pot să te slujesc?
Justice is expensive.,Dreptatea costă mult.
Could you teach me some French?,Ați putea să mă învățați puțină franceză?
Tom did a really good job fixing my car.,Tom a făcut o treabă bună reparându-mi mașina.
It's time to move forward.,E timpul să mergi înainte.
Be sincere with me.,Fii sincer cu mine.
I have to go to hospital.,Trebuie să mă duc la spital.
She lives with him in a small apartment.,Ea locuiește cu el într-un mic apartament.
I didn't see the accident.,Nu am văzut accidentul.
It's been raining since last night,Plouă de noaptea trecută.
I have nothing to say in this regard.,Nu am nimic de spus în această privință.
Do you offer accommodation?,Oferiți cazare?
I have two nephews.,Am doi nepoți.
Isn't it dangerous?,Nu este periculos?
This room is very stuffy.,Camera asta este foarte sufocantă.
We have to get there fast and first.,Trebuie să ajungem acolo repede și primii.
Tom can't even read.,Tom nici măcar nu poate citi.
We regret his death.,Regretăm moartea lui.
I don't want to work under these conditions.,Nu vreau să lucrez în astfel de condiţii.
Tom wanted to buy some marshmallows.,Tom dorea să cumpere niște caramele.
The record is finished. Turn it over.,Discul a ajuns la capăt. Întoarce-l.
The arrow hit the target.,Săgeata a atins ținta.
"After splitting up with her, Simon walked away without looking back.","După ce s-a despărțit de ea, Simon s-a îndepărtat fără să se uite înapoi."
"Could you spell that for me, please?","Ați putea să o spuneți pe litere pentru mine, vă rog?"
Give me the ball.,Dă-mi mingea.
Tom knows quite a lot about Mary.,Tom știe destul de multe despre Mary.
My house is very cold.,Casa mea e tare rece.
Are you ill?,Ești bolnavă?
I am a student.,Sunt student.
I want to eat pizza tonight.,Vreau să mănânc pizza deseară.
You must study your whole life.,Trebuie să înveţi toată viaţa.
He happened to be there.,S-a întâmplat să fie acolo.
This is an easy exercise.,Acesta este un exerciţiu uşor.
"Even though Tom told Mary about his problem, he didn't want to listen to any advice she had on how to solve it.","Deși Tom i-a spus lui Mary despre problema lui, el nu a vrut să asculte de nici un sfat de-al ei despre cum se poate rezolva."
He is a close friend of my brother.,El este un prieten apropiat al fratelui meu.
I agree.,Sunt de acord.
This sounds about right.,Sună bine.
Perfect!,Perfect!
Who wants pie?,Cine vrea plăcintă?
"""To tell you the truth, I am scared of heights."" ""You are a coward!""","- Ca să-ți zic adevărul, mi-e teamă de înălțime. - Ești un laș!"
That night was very cold.,Acea noapte a fost foarte friguroasă.
This is a joke.,Aceasta este o glumă.
Breakfast is the most important meal of the day.,Micul dejun este principala masă a zilei.
Weren't you tired?,Nu ați fost obosită?
This is excellent wine.,Acesta e un vin excelent.
I appreciate the effort.,Apreciez efortul.
I charge my telephone every day.,Îmi încarc telefonul zilnic.
My house is close to a bus stop.,Casa mea e aproape de staţia de autobuz.
Atoms cannot be perceived with the naked eye.,Atomii nu pot fi văzuți cu ochiul liber.
Jack made a lot of mistakes in his composition.,Jack a făcut o grămadă de greșeli în compunere.
Accuracy is important in arithmetic.,Precizia este importantă în aritmetică.
You don't need to worry about wiretapping.,Nu trebuie să vă faceți griji cu privire la interceptarea convorbirilor telefonice.
Cities and provinces along the Yangtze River in central China are grappling with the country's worst drought in more than 50 years.,Orașele și provinciile de-a lungul râului Yangtze din China centrală se luptă cu cea mai rea secetă a țării din ultimii 50 de ani.
I was very happy when I heard that news.,Am fost foarte fericit când am auzit acea veste.
